domain,pagerank_score
static.icc-cricket.yahoo.net,0.001471
google.com,0.001476
hif.wikipedia.org,0.003560
wikidata.org,0.004004
sk.wikipedia.org,0.002215
olympics.com,0.001472
hr.wikipedia.org,0.003675
sl.wikipedia.org,0.002215
evsexplore.semantics.cancer.gov,0.001493
io.wikipedia.org,0.003005
library.la84.org,0.001473
nrm.wikipedia.org,0.002215
enciclopedia.cat,0.001512
nap.wikipedia.org,0.002215
jam.wikipedia.org,0.002215
indianexpress.com,0.001466
icc-static-files.s3.amazonaws.com,0.001479
estoniancricket.com,0.001472
bn.wikibooks.org,0.001471
kbp.wikipedia.org,0.002917
da.wikipedia.org,0.004013
sportingnews.com,0.001471
ko.wikipedia.org,0.004860
scn.wikipedia.org,0.002215
classy.org,0.001699
guildfordcc.com,0.001471
la.wikipedia.org,0.003288
meta.wikimedia.org,0.001471
bwarabia.com,0.001471
lb.wikipedia.org,0.003353
thenews.com.pk,0.001470
espncricinfo.com,0.001845
mediawiki.org,0.003291
lv.wikipedia.org,0.004231
sportilus.com,0.001473
mk.wikipedia.org,0.003877
ru.wikipedia.org,0.002215
sco.wikipedia.org,0.002215
sm.wikipedia.org,0.002215
bn.wikivoyage.org,0.001471
in.reuters.com,0.001468
ast.wikipedia.org,0.004108
proleksis.lzmk.hr,0.001473
ms.wikipedia.org,0.003213
ga.wikipedia.org,0.003236
cricket-belgium.com,0.001473
et.wikiquote.org,0.001472
lobid.org,0.001470
agora.qc.ca,0.001467
cricinfo.com,0.001595
jamaica-gleaner.com,0.001466
eu.wikipedia.org,0.005555
sv.wikipedia.org,0.002215
new.wikipedia.org,0.002215
lords.org,0.002574
bs.wikipedia.org,0.003270
hungary4cricket.com,0.001471
uz.wikipedia.org,0.002215
nl.wikipedia.org,0.002215
zh.wikipedia.org,0.002215
donate.wikimedia.org,0.007597
cricbuzz.com,0.001467
hy.wikipedia.org,0.005173
dty.wikipedia.org,0.003468
no.wikipedia.org,0.002215
economictimes.indiatimes.com,0.001467
kncb.nl,0.001511
dsr.wa.gov.au,0.001484
cs.wikipedia.org,0.003511
artikelverzeichnis-artikel.de,0.001472
pa.wikipedia.org,0.002215
